My Account Log In
IP2Location LITE
Home
Free Databases
IP Addresses
Free Plugins
FAQs
Contact
Home United States IP Address Ranges
United States IP Address Ranges
United States has a total of 1,571,238,096 IP address assigned. Below are all IP address ranges in United States.

Data Sources:
i. You can download the complete free data in CSV format from IP2Location LITE DB1.
ii. You can also download the list in firewall format from IP2Location Firewall List.

Begin IP Address	End IP Address	Total Count
4.59.180.119	4.59.181.0	138
4.59.181.3	4.59.181.4	2
4.59.181.7	4.59.181.8	2
4.59.181.11	4.59.181.73	63
4.59.181.75	4.59.182.12	194
4.59.182.15	4.59.182.20	6
4.59.182.23	4.59.182.36	14
4.59.182.39	4.59.182.45	7
4.59.182.47	4.59.182.48	2
4.59.182.50	4.59.183.128	335
4.59.183.131	4.59.183.156	26
4.59.183.159	4.59.183.164	6
4.59.183.167	4.59.183.180	14
4.59.183.183	4.59.183.184	2
4.59.183.187	4.68.1.36	543,082
4.68.1.39	4.68.1.231	193
4.68.1.234	4.68.2.4	27
4.68.2.8	4.68.2.159	152
4.68.2.224	4.68.2.239	16
4.68.3.0	4.68.3.65	66
4.68.3.67	4.68.3.67	1
4.68.3.70	4.68.3.175	106
4.68.3.186	4.68.3.203	18
4.68.3.206	4.68.3.209	4
4.68.3.212	4.68.6.203	760
4.68.6.206	4.68.7.110	161
4.68.7.151	4.68.7.191	41
4.68.7.197	4.68.7.197	1
4.68.7.199	4.68.7.199	1
4.68.7.206	4.68.7.217	12
4.68.7.220	4.68.7.221	2
4.68.7.227	4.68.7.235	9
4.68.7.237	4.68.7.238	2
4.68.7.241	4.68.7.244	4
4.68.7.246	4.68.7.246	1
4.68.7.248	4.68.7.248	1
4.68.7.250	4.68.7.250	1
4.68.7.252	4.68.7.252	1
4.68.7.254	4.68.12.51	1,078
4.68.12.53	4.68.12.65	13
4.68.12.70	4.68.12.116	47
4.68.12.121	4.68.14.7	399
4.68.14.9	4.68.14.9	1
4.68.14.11	4.68.14.28	18
4.68.14.31	4.68.14.32	2
4.68.14.41	4.68.14.41	1
4.68.14.46	4.68.14.59	14
4.68.14.70	4.68.15.127	314
4.68.15.137	4.68.15.137	1
4.68.15.141	4.68.15.141	1
